placename,Y needs X to be Ved,Y needs X Ved,Y needs X Ving,longitude,latitude
Prestatyn,0.21600000,0.2432000,0.5408000, -3.4076130,53.33651
Builth Wells,0.30851064,0.3617021,0.3297872, -3.4045920,52.15002
Braemar,0.28260870,0.3695652,0.3478261, -3.3979439,57.00647
Brecon,0.27358491,0.3962264,0.3301887, -3.3914630,51.94895
Merthyr Tydfil,0.24060150,0.4285714,0.3308271, -3.3816460,51.74873
Llandrindod Wells,0.23232323,0.3636364,0.4040404, -3.3777420,52.24170
Corwen,0.18683274,0.2704626,0.5427046, -3.3692420,52.98005
Cockermouth,0.18045113,0.2631579,0.5563910, -3.3679850,54.66326
Lockerbie,0.16883117,0.4220779,0.4090909, -3.3490080,55.12224
Blairgowrie,0.21794872,0.4038462,0.3782051, -3.3378318,56.58941
Elgin,0.28260870,0.3695652,0.3478261, -3.3184850,57.64945
Newtown,0.23275862,0.2500000,0.5172414, -3.3131060,52.51211
Ruthin,0.20840065,0.2358643,0.5557351, -3.3103108,53.11487
Ruthin,0.20840065,0.2358643,0.5557351, -3.3103108,53.11487
Sidmouth,0.25000000,0.4078947,0.3421053, -3.2375600,50.67865
Barrow-in-Furness,0.12500000,0.2265625,0.6484375, -3.2188940,54.10897
Peebles,0.15277778,0.4652778,0.3819444, -3.1936420,55.65307
Edinburgh,0.16551724,0.4275862,0.4068966, -3.1882670,55.95325
Cardiff,0.30648330,0.3693517,0.3241650, -3.1790900,51.48158
Llangollen,0.16894198,0.3054608,0.5255973, -3.1716600,52.96921
Kirkcaldy,0.21518987,0.3987342,0.3860759, -3.1581370,56.11682
Welshpool,0.22881356,0.2288136,0.5423729, -3.1464070,52.66035
Mold,0.20995334,0.2643857,0.5256610, -3.1419030,53.16720
Mold,0.20995334,0.2643857,0.5256610, -3.1419030,53.16720
Taunton,0.28462998,0.3738140,0.3415560, -3.1068490,51.01534
Wick,0.28260870,0.3695652,0.3478261, -3.0937160,58.43894
John o' Groats,0.28260870,0.3695652,0.3478261, -3.0688997,58.63734
Dalkeith,0.16551724,0.4413793,0.3931034, -3.0666060,55.89312
Oswestry,0.15596330,0.3394495,0.5045872, -3.0564120,52.85715
Blackpool,0.14285714,0.2539683,0.6031746, -3.0356748,53.81751
Birkenhead,0.20355412,0.2407108,0.5557351, -3.0230090,53.38999
Cupar,0.20512821,0.4166667,0.3782051, -3.0101370,56.32023
Southport,0.16285714,0.2171429,0.6200000, -3.0101130,53.64571
Bridgwater,0.25048544,0.4116505,0.3378641, -3.0036320,51.12789
Langholm,0.14000000,0.3800000,0.4800000, -2.9989130,55.15306
Newport,0.28628231,0.3677932,0.3459245, -2.9976640,51.58415
Axminster,0.27205882,0.3602941,0.3676471, -2.9949370,50.78273
Wrexham,0.18865031,0.2745399,0.5368098, -2.9924940,53.04304
Liverpool,0.18890555,0.2323838,0.5787106, -2.9915726,53.40837
Weston-super-Mare,0.30442804,0.3634686,0.3321033, -2.9772550,51.34741
Dundee,0.20512821,0.4166667,0.3782051, -2.9707210,56.46202
Kirkwall,0.28260870,0.3695652,0.3478261, -2.9622491,58.98467
Ambleside,0.16783217,0.2307692,0.6013986, -2.9613330,54.42874
Orkney Islands,0.28260870,0.3695652,0.3478261, -2.9605206,58.98094
Lyme Regis,0.32323232,0.2929293,0.3838384, -2.9366390,50.72516
Carlisle,0.11970075,0.3366584,0.5436409, -2.9329310,54.89247
Chester,0.19253731,0.2626866,0.5447761, -2.8930750,53.19339
Forfar,0.22784810,0.3860759,0.3860759, -2.8890620,56.64356
Morecambe,0.13989637,0.2616580,0.5984456, -2.8649680,54.07417
Selkirk,0.18543046,0.4105960,0.4039735, -2.8385240,55.55066
Galashiels,0.15602837,0.4539007,0.3900709, -2.8144490,55.62373
Lancaster,0.13989637,0.2616580,0.5984456, -2.8007399,54.04657
St Andrews,0.20512821,0.4166667,0.3782051, -2.7967214,56.33978
Hawick,0.18867925,0.4213836,0.3899371, -2.7809140,55.42706
Bridport,0.32258065,0.3118280,0.3655914, -2.7583010,50.73358
Shrewsbury,0.15702479,0.2396694,0.6033058, -2.7553268,52.70730
Penrith,0.21195652,0.3097826,0.4782609, -2.7527080,54.66410
Kendal,0.16458853,0.2518703,0.5835411, -2.7462900,54.32801
Street,0.26242545,0.3976143,0.3399602, -2.7429190,51.12468
Glastonbury,0.26242545,0.4095427,0.3280318, -2.7184540,51.14743
Hereford,0.14583333,0.3958333,0.4583333, -2.7159740,52.05640
Ludlow,0.18627451,0.2941176,0.5196078, -2.7139129,52.36775
Preston,0.09863014,0.1863014,0.7150685, -2.7030900,53.76320
Whitchurch,0.09734513,0.2920354,0.6106195, -2.6820450,52.96872
Wells,0.25800000,0.4120000,0.3300000, -2.6445979,51.20935
Yeovil,0.32673267,0.2945545,0.3787129, -2.6333080,50.94206
Wigan,0.14697406,0.2132565,0.6397695, -2.6325074,53.54506
Warrington,0.21830986,0.1690141,0.6126761, -2.5969501,53.39004
Arbroath,0.21250000,0.4062500,0.3812500, -2.5915430,56.55911
Bristol,0.27327935,0.4048583,0.3218623, -2.5879100,51.45451
Guernsey,0.31297710,0.3511450,0.3358779, -2.5852780,49.46569
Ross-on-Wye,0.25065274,0.3342037,0.4151436, -2.5824460,51.91445
Jedburgh,0.16842105,0.3789474,0.4526316, -2.5549369,55.47772
Sedbergh,0.12980769,0.2644231,0.6057692, -2.5281740,54.32363
Sedbergh,0.12980769,0.2644231,0.6057692, -2.5281740,54.32363
Nantwich,0.07826087,0.2521739,0.6695652, -2.5241020,53.06719
Banff,0.28571429,0.3626374,0.3516484, -2.5240380,57.66651
Dunbar,0.20512821,0.4038462,0.3910256, -2.5167370,56.00209
Cinderford,0.26732673,0.3316832,0.4009901, -2.5009579,51.82530
Banchory,0.24096386,0.3795181,0.3795181, -2.4909599,57.05386
Blackburn,0.15405405,0.2297297,0.6162162, -2.4875290,53.74858
Market Drayton,0.10077519,0.2713178,0.6279070, -2.4834850,52.90355
Telford,0.14960630,0.2047244,0.6456693, -2.4672611,52.67759
Montrose,0.22784810,0.3860759,0.3860759, -2.4661150,56.70692
Turriff,0.28571429,0.3626374,0.3516484, -2.4623000,57.53893
Weymouth,0.29702970,0.3069307,0.3960396, -2.4576210,50.61443
Crewe,0.09090909,0.2066116,0.7024793, -2.4438209,53.10041
Fortuneswell,0.30000000,0.2900000,0.4100000, -2.4422190,50.55919
Dorchester,0.26213592,0.3495146,0.3883495, -2.4411810,50.71116
Alston,0.11793612,0.3095823,0.5724816, -2.4386850,54.81217
Kelso,0.17218543,0.4039735,0.4238411, -2.4322070,55.60003
Wincanton,0.33658537,0.2902439,0.3731707, -2.4160070,51.05569
Clitheroe,0.14477212,0.3083110,0.5469169, -2.3930830,53.87110
Sark,0.33582090,0.3208955,0.3432836, -2.3666256,49.43007
Bath,0.25592417,0.3459716,0.3981043, -2.3590167,51.38106
Kidderminster,0.18750000,0.2901786,0.5223214, -2.2496839,52.38860
Manchester,0.26315789,0.1719298,0.5649123, -2.2426305,53.48076
Burnley,0.14117647,0.2500000,0.6088235, -2.2405035,53.78929
Gloucester,0.19908467,0.3546911,0.4462243, -2.2381560,51.86424
Newcastle-under-Lyme,0.11206897,0.2327586,0.6551724, -2.2273002,53.01321
Worcester,0.14553991,0.3474178,0.5070423, -2.2215750,52.19364
Trowbridge,0.27207637,0.2983294,0.4295943, -2.2088530,51.31966
Shaftesbury,0.34008097,0.3137652,0.3461538, -2.1980830,51.00460
