placename,past participle,present participle,longitude,latitude
Llandudno,0.6181144,0.38188559, -3.8276090,53.32406
Llandudno,0.6181144,0.38188559, -3.8276090,53.32406
Aviemore,0.2714227,0.72857729, -3.8238120,57.19449
Dalbeattie,0.4450518,0.55494822, -3.8225270,54.93422
Falkirk,0.2148712,0.78512881, -3.7839131,56.00188
Kingsbridge,0.7207944,0.27920561, -3.7774930,50.28395
Pitlochry,0.1934267,0.80657328, -3.7297110,56.70436
Colwyn Bay,0.6172514,0.38274862, -3.7276400,53.29318
Totnes,0.7349914,0.26500858, -3.6857970,50.43374
Grantown-on-Spey,0.2772318,0.72276822, -3.6096280,57.33041
Dumfries,0.4353680,0.56463196, -3.6051200,55.07086
Whitehaven,0.7514559,0.24854409, -3.5892330,54.54970
Dartmouth,0.7256637,0.27433628, -3.5788070,50.35252
Bridgend,0.6941998,0.30580023, -3.5769450,51.50429
Paignton,0.7288777,0.27112232, -3.5642350,50.43508
Workington,0.7457877,0.25421230, -3.5427520,54.64357
Llanidloes,0.6670673,0.33293269, -3.5401950,52.44779
Exeter,0.7421335,0.25786646, -3.5338990,50.71841
Torquay,0.7314461,0.26855394, -3.5253150,50.46192
Thurso,0.2827305,0.71726949, -3.5220800,58.59357
Livingston,0.2355756,0.76442443, -3.5180680,55.90071
Rhyl,0.6314009,0.36859914, -3.4916340,53.31914
Tiverton,0.7417879,0.25821206, -3.4912070,50.90205
Tiverton,0.7417879,0.25821206, -3.4912070,50.90205
Minehead,0.7385621,0.26143791, -3.4811520,51.20428
Dunfermline,0.2285485,0.77145148, -3.4521510,56.07174
Perth,0.1906475,0.80935252, -3.4308381,56.39499
Prestatyn,0.6354613,0.36453869, -3.4076130,53.33651
Builth Wells,0.6975000,0.30250000, -3.4045920,52.15002
Braemar,0.2647712,0.73522879, -3.3979439,57.00647
Brecon,0.7507029,0.24929709, -3.3914630,51.94895
Merthyr Tydfil,0.7907206,0.20927937, -3.3816460,51.74873
Llandrindod Wells,0.6928934,0.30710660, -3.3777420,52.24170
Corwen,0.6687376,0.33126243, -3.3692420,52.98005
Cockermouth,0.7188413,0.28115871, -3.3679850,54.66326
Lockerbie,0.4929719,0.50702811, -3.3490080,55.12224
Blairgowrie,0.1943867,0.80561331, -3.3378318,56.58941
Elgin,0.2714401,0.72855987, -3.3184850,57.64945
Newtown,0.6634615,0.33653846, -3.3131060,52.51211
Ruthin,0.6395793,0.36042065, -3.3103108,53.11487
Ruthin,0.6395793,0.36042065, -3.3103108,53.11487
Sidmouth,0.7284483,0.27155172, -3.2375600,50.67865
Barrow-in-Furness,0.8272827,0.17271727, -3.2188940,54.10897
Peebles,0.2421315,0.75786849, -3.1936420,55.65307
Edinburgh,0.2258876,0.77411238, -3.1882670,55.95325
Cardiff,0.7724509,0.22754907, -3.1790900,51.48158
Llangollen,0.6824444,0.31755556, -3.1716600,52.96921
Kirkcaldy,0.2283221,0.77167793, -3.1581370,56.11682
Welshpool,0.6832827,0.31671733, -3.1464070,52.66035
Mold,0.6524576,0.34754241, -3.1419030,53.16720
Mold,0.6524576,0.34754241, -3.1419030,53.16720
Taunton,0.7577099,0.24229010, -3.1068490,51.01534
Wick,0.2816969,0.71830315, -3.0937160,58.43894
John o' Groats,0.2816969,0.71830315, -3.0688997,58.63734
Dalkeith,0.2264256,0.77357441, -3.0666060,55.89312
Oswestry,0.7131968,0.28680324, -3.0564120,52.85715
Blackpool,0.8336714,0.16632860, -3.0356748,53.81751
Birkenhead,0.6602901,0.33970990, -3.0230090,53.38999
Cupar,0.2220815,0.77791846, -3.0101370,56.32023
Southport,0.7223518,0.27764820, -3.0101130,53.64571
Bridgwater,0.7500274,0.24997264, -3.0036320,51.12789
Langholm,0.5512014,0.44879863, -2.9989130,55.15306
Newport,0.7784001,0.22159986, -2.9976640,51.58415
Axminster,0.7383367,0.26166329, -2.9949370,50.78273
Wrexham,0.6598369,0.34016308, -2.9924940,53.04304
Liverpool,0.6574053,0.34259467, -2.9915726,53.40837
Weston-super-Mare,0.7616655,0.23833453, -2.9772550,51.34741
Dundee,0.2251957,0.77480434, -2.9707210,56.46202
Kirkwall,0.2829615,0.71703854, -2.9622491,58.98467
Ambleside,0.7943311,0.20566893, -2.9613330,54.42874
Orkney Islands,0.2829615,0.71703854, -2.9605206,58.98094
Lyme Regis,0.7330637,0.26693630, -2.9366390,50.72516
Carlisle,0.6024203,0.39757969, -2.9329310,54.89247
Chester,0.6642187,0.33578131, -2.8930750,53.19339
Forfar,0.2132616,0.78673835, -2.8890620,56.64356
Morecambe,0.8406593,0.15934066, -2.8649680,54.07417
Selkirk,0.2486272,0.75137279, -2.8385240,55.55066
Galashiels,0.2466626,0.75333738, -2.8144490,55.62373
Lancaster,0.8418142,0.15818584, -2.8007399,54.04657
St Andrews,0.2269521,0.77304786, -2.7967214,56.33978
Hawick,0.3002471,0.69975288, -2.7809140,55.42706
Bridport,0.7342728,0.26572723, -2.7583010,50.73358
Shrewsbury,0.6551086,0.34489135, -2.7553268,52.70730
Penrith,0.7478415,0.25215846, -2.7527080,54.66410
Kendal,0.8195309,0.18046912, -2.7462900,54.32801
Street,0.7440158,0.25598423, -2.7429190,51.12468
Glastonbury,0.7461344,0.25386562, -2.7184540,51.14743
Hereford,0.7784145,0.22158548, -2.7159740,52.05640
Ludlow,0.7091795,0.29082047, -2.7139129,52.36775
Preston,0.8716259,0.12837414, -2.7030900,53.76320
Whitchurch,0.7049618,0.29503817, -2.6820450,52.96872
Wells,0.7486646,0.25133539, -2.6445979,51.20935
Yeovil,0.7354794,0.26452064, -2.6333080,50.94206
Wigan,0.8642525,0.13574748, -2.6325074,53.54506
Warrington,0.8161892,0.18381084, -2.5969501,53.39004
Arbroath,0.2171429,0.78285714, -2.5915430,56.55911
Bristol,0.7546374,0.24536256, -2.5879100,51.45451
Guernsey,0.7322880,0.26771196, -2.5852780,49.46569
Ross-on-Wye,0.7701593,0.22984066, -2.5824460,51.91445
Jedburgh,0.3243944,0.67560563, -2.5549369,55.47772
Sedbergh,0.8225914,0.17740864, -2.5281740,54.32363
Sedbergh,0.8225914,0.17740864, -2.5281740,54.32363
Nantwich,0.7516522,0.24834783, -2.5241020,53.06719
Banff,0.2759596,0.72404040, -2.5240380,57.66651
Dunbar,0.2302516,0.76974839, -2.5167370,56.00209
Cinderford,0.7456776,0.25432236, -2.5009579,51.82530
Banchory,0.2482727,0.75172731, -2.4909599,57.05386
Blackburn,0.8678973,0.13210273, -2.4875290,53.74858
Market Drayton,0.6775974,0.32240265, -2.4834850,52.90355
Telford,0.6452812,0.35471881, -2.4672611,52.67759
Montrose,0.2297674,0.77023256, -2.4661150,56.70692
Turriff,0.2759596,0.72404040, -2.4623000,57.53893
Weymouth,0.7210811,0.27891892, -2.4576210,50.61443
Crewe,0.7420298,0.25797023, -2.4438209,53.10041
Fortuneswell,0.7192601,0.28073993, -2.4422190,50.55919
Dorchester,0.7324742,0.26752577, -2.4411810,50.71116
Alston,0.6320053,0.36799469, -2.4386850,54.81217
Kelso,0.2661026,0.73389743, -2.4322070,55.60003
Wincanton,0.7016129,0.29838710, -2.4160070,51.05569
Clitheroe,0.8489875,0.15101249, -2.3930830,53.87110
Sark,0.7363636,0.26363636, -2.3666256,49.43007
Bath,0.7197107,0.28028933, -2.3590167,51.38106
Kidderminster,0.6279356,0.37206436, -2.2496839,52.38860
Manchester,0.8428957,0.15710428, -2.2426305,53.48076
Burnley,0.8368875,0.16311252, -2.2405035,53.78929
Gloucester,0.7709292,0.22907084, -2.2381560,51.86424
Newcastle-under-Lyme,0.6840938,0.31590615, -2.2273002,53.01321
Worcester,0.7523140,0.24768604, -2.2215750,52.19364
Trowbridge,0.7363816,0.26361840, -2.2088530,51.31966
Shaftesbury,0.7274229,0.27257709, -2.1980830,51.00460
Alderney,0.7121739,0.28782609, -2.1973557,49.71500
Stoke-on-Trent,0.6828428,0.31715723, -2.1794040,53.00267
Colne,0.8057692,0.19423077, -2.1769910,53.85564
Blandford Forum,0.7135135,0.28648649, -2.1653530,50.85691
Rochdale,0.8464397,0.15356029, -2.1561000,53.60971
Jersey,0.7137871,0.28621291, -2.1312500,49.21444
Wolverhampton,0.5887009,0.41129906, -2.1288200,52.58697
Stafford,0.6229219,0.37707815, -2.1206600,52.80669
Macclesfield,0.8050559,0.19494409, -2.1192870,53.25866
Hexham,0.5770753,0.42292467, -2.1121439,54.97266
Aberdeen,0.2482727,0.75172731, -2.0942780,57.14972
Dudley,0.6008133,0.39918667, -2.0811120,52.51226
Cheltenham,0.7612797,0.23872026, -2.0782533,51.89939
Bromsgrove,0.6289610,0.37103903, -2.0619060,52.33559
Skipton,0.7840328,0.21596725, -2.0162787,53.96285
Fraserburgh,0.2777106,0.72228940, -2.0076310,57.69335
Berwick,0.2639123,0.73608774, -2.0053950,55.77024
Poole,0.7469660,0.25303398, -1.9872480,50.71505
Walsall,0.5900620,0.40993802, -1.9829190,52.58621
Cirencester,0.7426956,0.25730443, -1.9682430,51.71849
Evesham,0.7445391,0.25546094, -1.9467700,52.09215
Buxton,0.7958314,0.20416864, -1.9148300,53.25908
Keighley,0.8246604,0.17533964, -1.9123580,53.86780
Birmingham,0.5993924,0.40060758, -1.8904010,52.48624
Bournemouth,0.7493932,0.25060680, -1.8807690,50.71916
Halifax,0.8217321,0.17826791, -1.8575400,53.72702
Salisbury,0.7240859,0.27591406, -1.7944720,51.06878
Ringwood,0.7568395,0.24316047, -1.7888170,50.84495
Huddersfield,0.8479570,0.15204301, -1.7850351,53.64579
Peterhead,0.2759596,0.72404040, -1.7840660,57.50812
Swindon,0.6861314,0.31386861, -1.7797176,51.55577
Bradford,0.8356285,0.16437154, -1.7593980,53.79598
Ashbourne,0.7426471,0.25735294, -1.7321790,53.01663
Marlborough,0.7274296,0.27257044, -1.7270620,51.42007
Stratford-upon-Avon,0.6246441,0.37535594, -1.7082980,52.19173
Alnwick,0.5405670,0.45943304, -1.7062990,55.41274
Otley,0.8185625,0.18143746, -1.6917860,53.90583
Bishop Auckland,0.7218182,0.27818182, -1.6787880,54.66382
Burton upon Trent,0.6936275,0.30637255, -1.6371359,52.81403
Newcastle,0.5573270,0.44267300, -1.6177800,54.97825
Durham,0.6088571,0.39114293, -1.5848520,54.77525
Ashington,0.5377709,0.46222912, -1.5659829,55.18298
Darlington,0.8045925,0.19540747, -1.5594580,54.52361
Leeds,0.8371869,0.16281315, -1.5490774,53.80076
Harrogate,0.8208131,0.17918691, -1.5418120,53.99212
Leamington Spa,0.6204170,0.37958298, -1.5200789,52.28519
Coventry,0.5814298,0.41857018, -1.5196930,52.40682
Blyth,0.5462314,0.45376859, -1.5102770,55.12696
Wakefield,0.8555613,0.14443868, -1.5059240,53.68330
Andover,0.7233068,0.27669323, -1.4919233,51.21120
Witney,0.6982759,0.30172414, -1.4850544,51.78594
Barnsley,0.8752848,0.12471519, -1.4797260,53.55263
Derby,0.7591869,0.24081314, -1.4746186,52.92253
Sheffield,0.8737162,0.12628376, -1.4700850,53.38113
Nuneaton,0.6027886,0.39721141, -1.4653820,52.52049
Northallerton,0.8475759,0.15242414, -1.4299590,54.33796
South Shields,0.5494065,0.45059355, -1.4274060,54.99942
Chesterfield,0.8538310,0.14616896, -1.4216290,53.23505
Southampton,0.7444897,0.25551034, -1.4043509,50.90970
Wetherby,0.8284049,0.17159513, -1.3848160,53.92706
Sunderland,0.5746190,0.42538098, -1.3838010,54.90687
Rotherham,0.8852174,0.11478261, -1.3635009,53.43260
Castleford,0.8569342,0.14306584, -1.3459680,53.72347
Thirsk,0.8525762,0.14742384, -1.3413770,54.23385
Banbury,0.6267882,0.37321178, -1.3397750,52.06290
Stockton,0.7443667,0.25563326, -1.3289821,54.57046
Newbury,0.7108793,0.28912072, -1.3231139,51.40141
Isle of Wight,0.7533394,0.24666060, -1.3047340,50.69385
Isle of Wight,0.7533394,0.24666060, -1.3047340,50.69385
Abingdon,0.6791444,0.32085561, -1.2879529,51.67078
Shetland Islands,0.2741265,0.72587354, -1.2659409,60.52965
Rugby,0.6040552,0.39594479, -1.2650320,52.37088
Oxford,0.6448020,0.35519802, -1.2577263,51.75202
Middlesbrough,0.7424842,0.25751582, -1.2349560,54.57423
Hartlepool,0.7208775,0.27912254, -1.2129260,54.69174
Loughborough,0.7192845,0.28071550, -1.2061660,52.77210
Mansfield,0.8251463,0.17485370, -1.1986740,53.14720
Nottingham,0.7757848,0.22421525, -1.1581086,52.95478
Bicester,0.6309704,0.36902957, -1.1535899,51.89960
Leicester,0.6028881,0.39711191, -1.1397592,52.63688
Doncaster,0.9269883,0.07301173, -1.1284620,53.52282
Worksop,0.8801551,0.11984491, -1.1227450,53.30930
Basingstoke,0.6489215,0.35107848, -1.0923964,51.26654
Portsmouth,0.7372556,0.26274441, -1.0879769,50.81977
York,0.8340822,0.16591781, -1.0872979,53.95997
Selby,0.8767558,0.12324422, -1.0671890,53.78352
Helmsley,0.8498718,0.15012816, -1.0562636,54.24651
Towcester,0.6226970,0.37730302, -0.9896880,52.13511
Reading,0.6597735,0.34022649, -0.9781303,51.45426
Retford,0.8767010,0.12329897, -0.9455030,53.32136
Petersfield,0.7237354,0.27626459, -0.9389900,51.00759
Northampton,0.6088743,0.39112572, -0.9026560,52.24048
Melton Mowbray,0.7053034,0.29469664, -0.8871260,52.76640
Aylesbury,0.5866365,0.41336353, -0.8084000,51.81561
Newark-on-Trent,0.7759423,0.22405767, -0.8065700,53.07004
Malton,0.8439344,0.15606557, -0.7978970,54.13684
Chichester,0.6804775,0.31952247, -0.7749360,50.83761
