variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-2958.538106812832,6979103.340069991,0.02851251047865857,0.9714874895213415
preposition_retained,-209366.24737977437,6571766.627531886,0.013252133876176408,0.9867478661238236
preposition_retained,-195855.28946270398,7131612.398344218,0.03398924391047914,0.9660107560895208
preposition_retained,-377535.93420422805,6790899.657867309,0.04462697773528665,0.9553730222647133
preposition_retained,-398183.695995546,6710985.551582894,0.046061299486704545,0.9539387005132954
preposition_retained,-334362.7847703819,6643947.060070163,0.009875431364707652,0.9901245686352923
preposition_retained,-22130.537408684377,7186337.161902725,0.01460588134458793,0.9853941186554122
preposition_retained,-307052.66277457733,6574301.183996955,0.025452938183302836,0.9745470618166973
preposition_retained,-15268.915315677788,6589961.170074266,0,1
preposition_retained,-288084.8234188206,6702089.049496805,0,1
preposition_retained,-657860.2529057846,7809617.926776841,0.01119791365579874,0.9888020863442012
preposition_retained,-636116.2279010835,7818101.701424047,0.011725053124428076,0.9882749468755718
preposition_retained,-505799.9212885998,6590684.741675179,0.00573230807777751,0.9942676919222225
preposition_retained,-249411.70874054724,7130350.477113402,0.09625017666979309,0.903749823330207
preposition_retained,-182245.1347473877,6948671.96613752,0.048753286329477306,0.9512467136705227
preposition_retained,79091.7412360835,6844168.757609536,0.046463675205455246,0.9535363247945448
preposition_retained,-213157.90055568406,7031065.606213349,0.03418444249565827,0.9658155575043417
preposition_retained,13560.606409964208,6837338.511988595,0.014666666666666668,0.9853333333333333
preposition_retained,-623987.3793858553,7444617.510135955,0.016245898650177955,0.9837541013498221
preposition_retained,120103.58936033095,6671014.198547059,0.034080755298300944,0.965919244701699
preposition_retained,-353894.6799859882,6706926.020860399,0,1
preposition_retained,-518845.0071367004,6815274.203126033,0.020967287447192246,0.9790327125528078
preposition_retained,-326492.3854518067,7341025.219134961,0.021094737567403377,0.9789052624325966
preposition_retained,52158.7140153411,6752456.634086062,0.017953756941524093,0.9820462430584759
preposition_retained,-231350.0990954405,6781953.4675142495,0.03685705883122253,0.9631429411687775
preposition_retained,-322055.63582675,7018850.630265591,0.26357372476380153,0.7364262752361984
preposition_retained,-158255.01637695075,7026594.338925578,0.023569854130295605,0.9764301458697043
